INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
274110679.0,3534.045,294.50375,311.0625,Москва,321016.2171875001,39228.5416666667,29737.1142578125,25506.3666666667,2025-05-01,2020-01-01,2022-01-01,90.83535076307746,0,12,0,2022-12-01,АО,101696.0,1.0,1,3159200.0,37910400.0,336.0,0.006710865958486469,4.0,-4424.57,2020-01-01,34.98685939553219,83.60000000000001,6.966666666666668,-11.7,-2.34,648.0,54.0,248.0,49.6
411152793.0,373.5,31.125,29.88,Москва,51020.1,9387.3,3486.0,5901.299999999999,2023-12-01,2020-01-01,2022-06-01,136.6,0,12,0,2023-05-01,Other,-31940.0,12.0,1,1792800.0,3585600.0,96.0,0.00010578663102450817,2.0,7081.56,2022-01-10,15.637319316688567,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
608011790.0,152.99999999999997,12.749999999999998,12.75,Москва,28099.58482142856,3031.025,2368.9666666666653,1976.1000000000001,2025-05-01,2020-01-01,2022-02-01,183.65741713352006,0,12,0,2023-01-01,ООО,17218.0,12.0,2,459000.0,1530000.0,84.0,7.673779208354132e-05,5.0,35.53,2019-11-15,37.54927726675427,84.3,7.0249999999999995,-9.399999999999999,-1.8799999999999997,618.0,51.5,171.0,34.2
725017259.0,247.09999999999994,20.59166666666666,20.549999999999997,Москва,43913.46643880209,3845.71666666667,3845.7166097005247,558.7833333333397,2025-05-01,2020-01-01,2022-06-01,177.71536397734562,0,12,0,2023-05-01,ООО,13409.0,12.0,2,582000.0,2328000.0,96.0,0.0001373668434990267,0.0,0.0,2016-01-22,87.25361366622865,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
1326254588.0,85.42500000000001,14.237500000000002,15.3,Москва,15831.306426323788,3308.03472222222,2835.45837402344,2126.5930555555497,2024-03-01,2022-01-01,2022-10-01,185.32404362099837,1,6,1,2023-09-01,ООО,-12190.0,6.0,1,89250.0,1071000.0,84.0,0.00018958748632404328,3.0,-1984.82,2022-01-01,19.97371879106439,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
1327021963.0,84.15,14.025,15.3,Москва,15831.306426323788,3308.03472222222,2835.45837402344,2126.5930555555497,2024-03-01,2022-01-01,2022-10-01,188.131983675862,1,6,1,2023-09-01,ООО,-12190.0,6.0,1,89250.0,1071000.0,84.0,0.00018958748632404328,1.0,-1984.82,2022-01-01,19.97371879106439,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
1327029232.0,511.27500000000003,102.25500000000001,133.875,Москва,65924.99290364588,19728.0,17360.625,18120.53333333333,2025-04-01,2020-01-01,2021-12-01,128.94233612761406,0,5,1,2022-11-01,ООО,0.0,4.0,8,522750.0,6273000.0,420.0,0.0011104409913265392,0.0,0.0,2018-11-20,47.3718791064389,80.7,6.7250000000000005,-14.600000000000001,-2.9200000000000004,591.0,49.25,191.0,38.2
1327035042.0,81.60000000000001,13.600000000000001,14.025,Москва,15358.72987467448,3308.03466796875,2717.312520345055,2126.5930013020798,2024-03-01,2022-11-01,2022-10-01,188.21972885630487,1,6,1,2023-09-01,ООО,-11623.0,6.0,1,76500.0,918000.0,72.0,0.0001625035597063228,1.0,-1984.82,2022-10-31,10.019710906701707,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
1328017790.0,81.60000000000001,13.600000000000001,14.025,Москва,15358.72987467448,3308.03466796875,2717.312520345055,2126.5930013020798,2024-03-01,2022-11-01,2022-10-01,188.21972885630487,1,6,1,2023-09-01,ООО,-1417.0,4.0,1,76500.0,918000.0,72.0,0.0001625035597063228,1.0,-1984.82,2022-10-31,10.019710906701707,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
1435314558.0,1943.955,194.3955,144.39,Москва,257223.1669921875,34941.6666666667,27595.77083333335,23709.6663411459,2025-05-01,2023-03-01,2022-06-01,132.31950687757046,0,3,0,2023-05-01,ООО,422109.0,5.0,3,1312050.0,5248200.0,56.0,0.0003096772629087594,1.0,27079.82,2023-03-01,2.0039421813403417,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
