INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
274110679.0,3224.8400000000006,268.73666666666674,297.57,Москва,423341.0986979167,61021.9986979167,38738.7,47234.1986979167,2025-05-01,2020-01-01,2024-01-01,131.27507060750816,0,12,0,2024-12-01,АО,-121138.0,12.0,1,2998400.0,33772800.0,420.0,0.005875599860864045,0.0,0.0,2020-01-01,59.00131406044678,95.80000000000001,7.983333333333334,-13.4,-2.68,687.0,57.25,230.0,46.0
608011790.0,146.62500000000003,12.218750000000002,12.75,Москва,35785.65,3031.025,3031.025,195.55000000000018,2025-05-01,2020-01-01,2023-06-01,244.06240409207157,0,12,0,2024-05-01,ООО,-17831.0,10.0,2,459000.0,1530000.0,84.0,7.88547819151403e-05,0.0,0.0,2019-11-15,53.515111695137975,82.39999999999999,6.866666666666666,-16.7,-3.34,748.0,62.333333333333336,264.0,52.8
725017259.0,244.8,20.400000000000002,19.4,Москва,49610.01665039059,4191.85833333333,4191.85833333333,346.14166666666006,2025-05-01,2020-01-01,2023-09-01,202.65529677447137,0,12,0,2024-08-01,ООО,-3783.0,10.0,2,582000.0,2328000.0,96.0,0.0001411564262194899,0.0,0.0,2016-01-22,102.29960578186596,88.2,7.3500000000000005,-16.7,-3.34,747.0,62.25,264.0,52.8
1215059221.0,29.9,9.966666666666667,9.2,Москва,9869.16666666667,3795.83333333333,3036.66666666667,759.1666666666597,2025-05-01,2025-02-01,2024-05-01,330.07246376811605,0,3,0,2025-04-01,Other,0.0,2.0,1,46000.0,184000.0,8.0,1.1156693481265523e-05,0.0,0.0,2025-01-27,2.102496714848883,106.20000000000002,8.850000000000001,-0.9000000000000001,-0.18000000000000002,651.0,54.25,196.0,39.2
1327029232.0,226.95000000000002,37.825,43.35,Москва,48915.74645182286,11413.675,8696.133528645816,9783.15,2025-04-01,2020-01-01,2023-09-01,215.53534457732036,0,6,1,2024-08-01,ООО,-5215.0,6.0,1,127500.0,2142000.0,84.0,0.0005751760563221998,4.0,4820.75,2018-11-20,68.36399474375821,88.2,7.3500000000000005,-16.7,-3.34,747.0,62.25,264.0,52.8
1513081504.0,26.519999999999996,2.2099999999999995,2.04,Москва,14536.00807698571,1853.95,1074.7499593099,779.2000406901,2025-05-01,2024-01-01,2024-02-01,548.1149350296272,0,12,0,2025-01-01,ООО,-2772.0,11.0,1,122400.0,244800.0,24.0,7.421626533189675e-06,0.0,0.0,2023-12-01,13.042049934296976,106.0,8.833333333333334,-0.30000000000000004,-0.06000000000000001,681.0,56.75,160.0,32.0
1659144415.0,453.075,151.025,172.6,Москва,82080.2500000001,31268.6666666667,31268.6666666667,11725.75,2024-12-01,2024-10-01,2024-01-01,181.16261104673643,0,3,0,2024-12-01,ООО,-98495.0,3.0,1,431500.0,3452000.0,48.0,0.00041861854236226724,0.0,0.0,2024-10-14,1.5768725361366622,95.80000000000001,7.983333333333334,-13.4,-2.68,687.0,57.25,230.0,46.0
2011005220.0,110.39999999999999,9.2,9.2,Москва,34020.83333333335,3402.08333333333,2721.66666666667,1360.8333333333298,2025-05-01,2023-04-01,2023-10-01,308.1597222222224,0,12,0,2024-09-01,ООО,-10614.0,12.0,1,276000.0,1104000.0,48.0,6.694016088759314e-05,0.0,0.0,2023-04-03,16.98423127463863,90.3,7.5249999999999995,-16.7,-3.34,752.0,62.666666666666664,264.0,52.8
2308134635.0,91.035,7.58625,7.14,Москва,43655.10618489583,4118.40625,0.0,823.6813151041702,2024-05-01,2021-02-01,2023-06-01,0.0,0,12,0,2024-05-01,ООО,-17789.0,11.0,1,214200.0,856800.0,96.0,5.195138573232772e-05,0.0,0.0,2021-02-10,38.633377135348226,82.39999999999999,6.866666666666666,-16.7,-3.34,748.0,62.333333333333336,264.0,52.8
2315227383.0,193.5,16.125,18.0,Москва,41701.27490234374,3923.7,3190.0,980.9249999999997,2025-05-01,2023-08-01,2024-05-01,215.51046461159558,0,12,0,2025-04-01,ООО,-1177.0,8.0,1,495000.0,1980000.0,44.0,0.00012005572333100943,0.0,0.0,2023-08-01,20.006570302233904,106.20000000000002,8.850000000000001,-0.9000000000000001,-0.18000000000000002,651.0,54.25,196.0,39.2
2370001556.0,931.0200000000001,155.17000000000002,219.825,Москва,160372.08601888013,39295.5013020833,36445.875,34850.83463541663,2024-11-01,2022-12-01,2023-11-01,172.25417930751232,0,6,1,2024-10-01,ООО,-7612.0,6.0,3,2315850.0,9263400.0,36.0,0.0005616788825780164,1.0,2279.7,2022-12-19,21.419185282522996,92.5,7.708333333333333,-16.7,-3.34,721.0,60.083333333333336,264.0,52.8
2540167061.0,1729.095,42.173048780487804,28.6,Москва,391279.1519345237,25084.95,6212.76666666667,23824.03928571429,2025-05-01,2020-02-01,2023-12-01,226.291298011112,0,12,0,2024-11-01,ООО,31632.0,112.0,9,3850700.0,13784000.0,582.0,0.000786704539358846,9.0,4084.36,2020-02-17,56.47174770039422,93.4,7.783333333333334,-15.8,-3.16,711.0,59.25,254.0,50.8
2630032284.0,107.94999999999999,15.421428571428569,19.65,Москва,17307.850181070964,4502.66682942708,2609.45,3689.36682942708,2025-04-01,2024-10-01,2024-05-01,160.33209987096774,1,7,0,2025-04-01,ООО,0.0,4.0,3,367500.0,918750.0,60.0,4.735152345394454e-05,0.0,0.0,2024-10-01,5.978975032851511,106.20000000000002,8.850000000000001,-0.9000000000000001,-0.18000000000000002,651.0,54.25,196.0,39.2
3000009457.0,165.6,18.4,18.4,Москва,42636.000406901054,5610.0,4488.00008138021,2244.0,2025-05-01,2023-10-01,2023-07-01,257.463770573074,0,9,0,2024-06-01,ООО,-9419.0,9.0,1,414000.0,1656000.0,36.0,0.00010041024133138971,0.0,0.0,2023-10-10,7.720105124835742,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
3017058220.0,537.85,67.23125,69.4,Москва,127950.7506510417,18560.2506510417,15512.5,4124.500651041701,2025-04-01,2022-12-01,2023-09-01,237.89300111748943,0,8,1,2024-08-01,ООО,-49602.0,8.0,1,694000.0,5552000.0,128.0,0.0006732821979128933,3.0,-4949.4,2022-12-12,19.64520367936925,88.2,7.3500000000000005,-16.7,-3.34,747.0,62.25,264.0,52.8
3301016507.0,273.7,22.808333333333334,20.7,Москва,46126.36467633929,4306.19523809524,3990.418154761905,1435.3952706473196,2025-05-01,2020-01-01,2024-05-01,168.5289173413931,0,12,0,2025-04-01,ООО,-8078.0,10.0,1,598000.0,2392000.0,44.0,0.00014503701525645185,0.0,0.0,2017-02-16,97.43758212877792,106.20000000000002,8.850000000000001,-0.9000000000000001,-0.18000000000000002,651.0,54.25,196.0,39.2
3301036461.0,132.47999999999996,11.039999999999997,11.04,Москва,28228.05815429691,2382.61666666667,2382.61666666667,363.3416666666699,2025-05-01,2020-01-01,2023-07-01,213.07411046419773,0,12,0,2024-06-01,ООО,-13859.0,12.0,1,662400.0,1324800.0,24.0,4.0164096532555885e-05,0.0,0.0,2019-07-10,58.73850197109067,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
3302007079.0,183.60000000000002,15.300000000000002,14.4,Москва,33174.15688592819,2890.03958333333,2796.8125,324.1913690476199,2025-05-01,2020-01-01,2023-07-01,180.68712900832347,0,12,0,2024-06-01,ООО,-19446.0,12.0,1,432000.0,1728000.0,48.0,0.00010477590399797186,0.0,0.0,2009-02-24,183.18002628120894,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
3311021111.0,216.75,18.0625,17.34,Москва,70636.92988048735,6066.40476190476,5968.559523809525,680.5029761904698,2025-05-01,2020-01-01,2023-09-01,325.8912566573811,0,12,0,2024-08-01,ООО,7516.0,10.0,1,520200.0,2080800.0,96.0,0.00012616765106422448,0.0,0.0,2015-10-01,106.01182654402102,88.2,7.3500000000000005,-16.7,-3.34,747.0,62.25,264.0,52.8
3326012014.0,122.4,30.6,30.6,Москва,62283.9993489583,15571.0,15571.0,0.0006510417006211355,2025-04-01,2025-01-01,2024-05-01,508.85620383135864,1,4,0,2025-04-01,ООО,0.0,2.0,1,918000.0,918000.0,3.0,1.391554974973064e-05,0.0,0.0,2024-12-24,3.219448094612352,106.20000000000002,8.850000000000001,-0.9000000000000001,-0.18000000000000002,651.0,54.25,196.0,39.2
3327329342.0,62.475,5.20625,5.1,Москва,23292.916996837797,2117.54170735677,1876.9759969075549,335.6042073567701,2025-05-01,2020-01-01,2024-05-01,372.8358062719135,0,12,0,2025-04-01,ООО,1915.0,7.0,1,140250.0,561000.0,44.0,3.401578827711934e-05,0.0,0.0,2009-04-29,191.06438896189223,106.20000000000002,8.850000000000001,-0.9000000000000001,-0.18000000000000002,651.0,54.25,196.0,39.2
3328432984.0,154.1,12.841666666666667,11.5,Москва,33872.96666666669,4350.18333333333,2175.09166666667,2175.09166666666,2025-05-01,2022-07-01,2023-09-01,219.8115942028987,0,12,0,2024-08-01,ООО,4715.0,9.0,2,759000.0,1518000.0,34.0,4.6021360610220286e-05,1.0,-696.03,2022-07-01,25.03285151116951,88.2,7.3500000000000005,-16.7,-3.34,747.0,62.25,264.0,52.8
3329018920.0,114.75,9.5625,9.18,Москва,39882.372835286464,3834.84375,3067.875,766.9687906900999,2025-05-01,2020-01-01,2023-07-01,347.5588046648058,0,12,0,2024-06-01,ООО,-2760.0,8.0,3,275400.0,1101600.0,144.0,6.679463879870706e-05,0.0,0.0,2017-10-21,79.33639947437582,85.5,7.125,-16.7,-3.34,863.0,71.91666666666667,264.0,52.8
