INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
273008320.0,693.45,115.575,120.6,Москва,70079.85,15234.75,12187.8,9140.85,2022-06-01,2020-01-01,2021-07-01,101.05970149253731,0,6,0,2022-06-01,ПАО,0.0,0.0,1,1809000.0,7236000.0,48.0,0.0006436652815661145,1.0,-3656.34,2022-01-01,4.9605781865965834,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
274110679.0,3534.045,294.50375,311.0625,Москва,321016.2171875001,39228.5416666667,29737.1142578125,25506.3666666667,2025-05-01,2020-01-01,2022-01-01,90.83535076307746,0,12,0,2022-12-01,АО,101696.0,1.0,1,3159200.0,37910400.0,336.0,0.010116753022505812,4.0,-4424.57,2020-01-01,34.98685939553219,83.60000000000001,6.966666666666668,-11.7,-2.34,648.0,54.0,248.0,49.6
276128914.0,2865.455,191.03033333333332,190.675,Москва,273894.88300781243,33948.7333333333,20457.5,29878.7333333333,2022-08-01,2020-12-01,2021-07-01,95.58512801904494,0,12,0,2022-06-01,ООО,0.0,0.0,9,2126250.0,15795000.0,624.0,0.002701953140902533,0.0,0.0,2020-12-14,17.542706964520367,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
411152793.0,388.44,32.37,29.88,Москва,41832.00016276042,3486.00016276042,3486.0,0.00016276042015306302,2023-12-01,2020-01-01,2021-12-01,107.69230811131816,0,12,0,2022-11-01,Other,0.0,11.0,1,1643400.0,3286800.0,88.0,0.0001461856721566822,0.0,0.0,2022-01-10,9.69119579500657,80.7,6.7250000000000005,-14.600000000000001,-2.9200000000000004,591.0,49.25,191.0,38.2
608011790.0,141.525,11.793750000000001,12.75,Москва,26173.77023809523,2386.65863095238,2330.47232142857,1331.73363095238,2025-05-01,2020-01-01,2021-09-01,184.94096617626022,0,12,0,2022-08-01,ООО,23719.0,8.0,2,306000.0,1020000.0,56.0,7.712241557736611e-05,5.0,35.53,2019-11-15,32.52299605781866,82.60000000000001,6.883333333333334,-11.700000000000001,-2.3400000000000003,619.0,51.583333333333336,226.0,45.2
722003000.0,121.5,17.357142857142858,18.0,Москва,14469.900000000014,2641.44166666667,2641.44166666667,2099.2000000000025,2022-04-01,2020-01-01,2021-05-01,119.09382716049394,0,7,1,2022-04-01,ООО,6340.0,4.0,1,180000.0,720000.0,16.0,6.404629667324522e-05,0.0,0.0,2018-12-10,39.68462549277267,86.9,7.241666666666667,-11.700000000000001,-2.3400000000000003,730.0,60.833333333333336,226.0,45.2
725017259.0,247.09999999999997,20.591666666666665,21.7,Москва,40317.27505696613,3845.71666666667,3286.93333333333,802.2750000000001,2025-05-01,2020-01-01,2021-12-01,163.16177683919926,0,12,0,2022-11-01,ООО,45131.0,12.0,2,533500.0,2134000.0,88.0,0.00018982610708431292,0.0,0.0,2016-01-22,81.30749014454665,80.7,6.7250000000000005,-14.600000000000001,-2.9200000000000004,591.0,49.25,191.0,38.2
1326254588.0,34.425,11.475,12.75,Москва,4179.408333333333,1928.95833333333,1607.46666666667,1285.9749999999972,2024-03-01,2022-01-01,2021-07-01,121.40619704671992,0,3,1,2022-06-01,ООО,0.0,3.0,1,38250.0,459000.0,36.0,0.0001224885423875815,1.0,-1736.07,2022-01-01,4.9605781865965834,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
1327021963.0,33.15,11.049999999999999,11.475,Москва,4018.658333333333,1928.95833333333,1446.71666666667,1285.9749999999972,2024-03-01,2022-01-01,2021-07-01,121.22649572649571,0,3,1,2022-06-01,ООО,0.0,2.0,1,38250.0,459000.0,36.0,0.0001224885423875815,1.0,-1736.07,2022-01-01,4.9605781865965834,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
1327029232.0,786.675,131.11249999999998,147.9,Москва,94445.94290364588,19728.0,18449.3256184896,18120.53333333333,2025-04-01,2020-01-01,2021-07-01,120.0571302045265,0,6,1,2022-06-01,ООО,0.0,3.0,8,344250.0,4131000.0,288.0,0.0011023968814882334,0.0,0.0,2018-11-20,42.34559789750328,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
1327035042.0,30.6,15.3,15.3,Москва,5670.91328938802,3071.74662272135,2835.45664469401,472.57995605467977,2024-03-01,2022-11-01,2022-01-01,185.32396370549083,0,2,1,2022-12-01,ООО,0.0,2.0,1,25500.0,306000.0,24.0,8.165902825838765e-05,0.0,0.0,2022-10-31,1.0183968462549278,83.60000000000001,6.966666666666668,-11.7,-2.34,648.0,54.0,248.0,49.6
1840088323.0,262.2,52.44,55.2,Москва,41841.07464192709,10120.0,9209.7,5096.38333333333,2024-04-01,2020-01-01,2021-07-01,159.5769437144435,0,5,1,2022-06-01,ООО,0.0,3.0,1,552000.0,2208000.0,16.0,0.00019640864313128534,0.0,0.0,2019-12-01,29.993429697766096,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
1841065061.0,216.19999999999996,18.016666666666662,18.4,Москва,31210.519002278634,2868.53333333333,2656.11670328776,1097.7916666666601,2023-07-01,2020-01-01,2021-05-01,144.35947734633967,0,12,0,2022-04-01,ООО,0.0,0.0,1,92000.0,736000.0,32.0,0.0001309390954208569,0.0,0.0,2018-10-19,41.39290407358738,86.9,7.241666666666667,-11.700000000000001,-2.3400000000000003,730.0,60.833333333333336,226.0,45.2
2130198323.0,39.525000000000006,5.646428571428572,5.1,Москва,7521.249731445341,1203.4,1052.97495524089,150.42504475911005,2024-03-01,2022-03-01,2021-10-01,190.29094829716232,0,7,0,2022-09-01,ООО,0.0,3.0,1,102000.0,408000.0,32.0,3.629290144817229e-05,0.0,0.0,2022-02-14,6.5374507227332455,82.8,6.8999999999999995,-11.700000000000001,-2.3400000000000003,609.0,50.75,226.0,45.2
2227000087.0,145.35,12.112499999999999,11.475,Москва,31701.8832356771,3582.04166666667,2419.29166666667,1240.7916666666702,2023-04-01,2020-01-01,2021-04-01,218.10721180376405,0,12,0,2022-03-01,ЗАО,0.0,0.0,1,165750.0,663000.0,20.0,5.897596485327997e-05,0.0,0.0,2012-01-26,121.12352168199736,88.60000000000001,7.383333333333334,-11.700000000000001,-2.3400000000000003,751.0,62.583333333333336,226.0,45.2
2308134635.0,87.97500000000001,7.331250000000001,7.14,Москва,34007.99979654948,3432.0,2745.6,1560.00008138021,2024-05-01,2021-02-01,2021-11-01,386.56436256379055,0,12,0,2022-10-01,ООО,26206.0,10.0,1,183600.0,734400.0,84.0,6.532722260671012e-05,0.0,0.0,2021-02-10,19.64520367936925,83.6,6.966666666666666,-11.700000000000001,-2.3400000000000003,626.0,52.166666666666664,226.0,45.2
2308246988.0,176.40000000000003,14.700000000000003,14.4,Москва,22788.839444987003,2067.44166666667,1879.49166666667,516.8604085286497,2023-04-01,2020-12-01,2021-05-01,129.18843222781746,0,12,0,2022-04-01,ООО,4342.0,4.0,1,144000.0,576000.0,16.0,5.1237037338596175e-05,0.0,0.0,2020-12-10,15.670170827858081,86.9,7.241666666666667,-11.700000000000001,-2.3400000000000003,730.0,60.833333333333336,226.0,45.2
2310060010.0,3555.0,296.25,316.0,Москва,639752.7751860119,61925.1571428571,56635.79427083335,43946.882142857095,2022-05-01,2020-01-01,2021-06-01,179.95858655021433,0,12,0,2022-05-01,ООО,0.0,4.0,1,1975000.0,15800000.0,160.0,0.0028109207984368736,1.0,-16513.38,2007-02-21,182.26018396846254,83.30000000000001,6.941666666666667,-11.700000000000001,-2.3400000000000003,698.0,58.166666666666664,226.0,45.2
2320200002.0,53.135000000000005,17.71166666666667,19.925,Москва,9424.94166666667,5651.575,0.0,4430.53333333333,2022-03-01,2022-01-01,2021-04-01,0.0,0,3,0,2022-03-01,ООО,347.0,2.0,1,245250.0,981000.0,24.0,8.726307921729662e-05,0.0,0.0,2021-12-02,2.923784494086728,88.60000000000001,7.383333333333334,-11.700000000000001,-2.3400000000000003,751.0,62.583333333333336,226.0,45.2
2540167061.0,1909.8599999999997,43.405909090909084,46.7325,Москва,277207.67436087475,11577.3333333333,6990.95,11159.924999999967,2025-05-01,2020-02-01,2021-12-01,145.1455469829594,0,12,0,2022-11-01,ООО,15774.0,74.0,9,2495100.0,9474400.0,394.0,0.0008202729446425881,0.0,0.0,2020-02-17,32.45729303547963,80.7,6.7250000000000005,-14.600000000000001,-2.9200000000000004,591.0,49.25,191.0,38.2
3301016507.0,275.99999999999994,22.999999999999996,22.08,Москва,37848.6967912946,3254.8431547619,3202.345684523805,338.3342261904704,2025-05-01,2020-01-01,2021-11-01,137.13295938874856,0,12,0,2022-10-01,ООО,0.0,0.0,1,552000.0,2208000.0,40.0,0.0001964086431312853,0.0,0.0,2017-02-16,67.44415243101183,83.6,6.966666666666666,-11.700000000000001,-2.3400000000000003,626.0,52.166666666666664,226.0,45.2
3301032570.0,140.29999999999998,23.38333333333333,25.3,Москва,26329.534458705355,5018.575,4375.09642857143,1066.87496744792,2023-04-01,2020-01-01,2022-01-01,187.66596192947512,0,6,1,2022-12-01,ООО,0.0,4.0,3,483000.0,1932000.0,84.0,0.00017185756273987472,0.0,0.0,2016-04-16,79.5006570302234,83.60000000000001,6.966666666666668,-11.7,-2.34,648.0,54.0,248.0,49.6
3301036461.0,132.47999999999996,11.039999999999997,11.04,Москва,19788.949902343746,2019.27490234375,1615.425,403.84990234375005,2025-05-01,2020-01-01,2021-09-01,149.37311218556576,0,12,0,2022-08-01,ООО,0.0,8.0,1,441600.0,883200.0,16.0,3.9281728626257066e-05,0.0,0.0,2019-07-10,36.727989487516425,82.60000000000001,6.883333333333334,-11.700000000000001,-2.3400000000000003,619.0,51.583333333333336,226.0,45.2
3302007079.0,187.20000000000002,15.600000000000001,14.4,Москва,25852.85525948659,2266.08154761905,2145.60768926711,235.53690476191014,2025-05-01,2020-01-01,2021-08-01,138.1028592921292,0,12,0,2022-07-01,ООО,244.0,7.0,1,252000.0,1008000.0,28.0,8.96648153425433e-05,0.0,0.0,2009-02-24,160.15111695137975,80.2,6.683333333333334,-11.700000000000001,-2.3400000000000003,725.0,60.416666666666664,226.0,45.2
3304025940.0,213.56000000000003,17.79666666666667,20.395,Москва,22005.12489013671,3269.175,2070.575,2384.108369954427,2023-12-01,2020-01-01,2021-06-01,103.0395434076452,0,12,0,2022-05-01,ООО,0.0,3.0,2,695900.0,695900.0,12.0,1.5475631199621996e-05,0.0,0.0,2018-10-01,42.96977660972404,83.30000000000001,6.941666666666667,-11.700000000000001,-2.3400000000000003,698.0,58.166666666666664,226.0,45.2
3311013880.0,262.125,52.425,59.1,Москва,48646.04798177093,14072.7750651042,12710.8916666667,10441.09173177087,2025-02-01,2020-01-01,2022-03-01,185.58339716460057,1,5,1,2023-02-01,ООО,0.0,0.0,1,713250.0,2853000.0,32.0,0.00025378345056773416,1.0,-5322.14,2016-02-17,83.47568988173455,81.10000000000001,6.758333333333334,-13.5,-2.7,618.0,51.5,205.0,41.0
3311021111.0,212.41500000000002,17.70125,17.34,Москва,57256.08396112353,5565.43334960938,4756.75625,2112.9500162760496,2025-05-01,2020-01-01,2022-01-01,269.5482143969283,0,12,0,2022-12-01,ООО,0.0,0.0,1,520200.0,2080800.0,96.0,0.0001850937973856787,1.0,-1380995.0,2015-10-01,86.00525624178712,83.60000000000001,6.966666666666668,-11.7,-2.34,648.0,54.0,248.0,49.6
3321023358.0,533.6,76.22857142857143,73.6,Москва,88824.00032552078,13215.1253255208,13215.125,1919.8586588541002,2023-02-01,2020-01-01,2022-03-01,166.46176972548872,1,7,1,2023-02-01,ООО,-15858.0,6.0,1,644000.0,5152000.0,56.0,0.0009165736679459984,0.0,0.0,2015-11-30,86.07095926412615,81.10000000000001,6.758333333333334,-13.5,-2.7,618.0,51.5,205.0,41.0
3327329342.0,66.3,5.5249999999999995,5.1,Москва,16155.205357142851,1443.8619047619,1336.93035714286,150.05833333332998,2025-05-01,2020-01-01,2021-05-01,243.66825576384392,0,12,0,2022-04-01,ООО,3019.0,4.0,1,51000.0,204000.0,16.0,1.8146450724086145e-05,0.0,0.0,2009-04-29,155.0591327201051,86.9,7.241666666666667,-11.700000000000001,-2.3400000000000003,730.0,60.833333333333336,226.0,45.2
3328432984.0,92.0,11.5,9.2,Москва,15314.691642252585,2091.43333333333,2091.43333333333,1416.7749999999974,2025-05-01,2022-07-01,2022-03-01,166.464039589702,0,8,0,2023-02-01,ООО,6421.0,8.0,1,414000.0,1104000.0,24.0,7.365324117423201e-05,4.0,-53.98,2022-07-01,7.063074901445466,81.10000000000001,6.758333333333334,-13.5,-2.7,618.0,51.5,205.0,41.0
3328459312.0,702.5,58.541666666666664,56.2,Москва,125537.8813313806,10684.0749104818,10684.07480875655,2671.016577148471,2025-02-01,2022-02-01,2022-03-01,178.70161043612896,1,12,1,2023-02-01,АО,25640.0,6.0,1,1545500.0,6182000.0,132.0,0.0005499086194916694,1.0,-3205.22,2022-02-14,11.563731931668856,81.10000000000001,6.758333333333334,-13.5,-2.7,618.0,51.5,205.0,41.0
3328494959.0,63.75,5.3125,5.1,Москва,12492.33336588544,1095.1,1013.99166666667,81.10833333332994,2023-11-01,2020-01-01,2021-05-01,195.95817044526183,0,12,0,2022-04-01,ООО,0.0,4.0,1,51000.0,204000.0,16.0,1.8146450724086145e-05,0.0,0.0,2014-12-14,87.54927726675427,86.9,7.241666666666667,-11.700000000000001,-2.3400000000000003,730.0,60.833333333333336,226.0,45.2
3329018920.0,113.47500000000002,9.456250000000002,9.18,Москва,32192.92937011718,3277.61458333333,2524.9500488281246,849.8062499999996,2025-05-01,2020-01-01,2021-04-01,283.70063335639725,0,12,0,2022-03-01,ООО,0.0,0.0,3,68850.0,275400.0,36.0,2.4497708477516297e-05,0.0,0.0,2017-10-21,52.299605781865964,88.60000000000001,7.383333333333334,-11.700000000000001,-2.3400000000000003,751.0,62.583333333333336,226.0,45.2
