INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
273008320.0,693.45,115.575,120.6,Москва,70079.85,15234.75,0.0,9140.85,2022-06-01,2020-01-01,2021-07-01,0.0,0,6,0,2022-06-01,ПАО,0.0,0.0,1,1809000.0,7236000.0,48.0,0.00047452785840323524,1.0,-3656.34,2022-01-01,4.9605781865965834,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
274110679.0,3511.65,292.6375,311.0625,Москва,315998.2588541667,39228.5416666667,29737.1142578125,25506.3666666667,2025-05-01,2020-01-01,2021-12-01,89.98569300874709,0,12,0,2022-11-01,АО,101696.0,1.0,1,2819600.0,33835200.0,300.0,0.006656610694297325,3.0,-6550.14,2020-01-01,34.00131406044678,80.7,6.7250000000000005,-14.600000000000001,-2.9200000000000004,591.0,49.25,191.0,38.2
276128914.0,3082.7300000000005,192.67062500000003,173.67000000000002,Москва,292164.5496744791,33948.7333333333,18588.5,29878.7333333333,2022-08-01,2020-12-01,2021-09-01,94.77461525157217,0,12,0,2022-08-01,ООО,0.0,0.0,9,3037500.0,21870000.0,864.0,0.0027090582961080225,0.0,0.0,2020-12-14,19.54664914586071,82.60000000000001,6.883333333333334,-11.700000000000001,-2.3400000000000003,619.0,51.583333333333336,226.0,45.2
411152793.0,373.5,31.125,29.88,Москва,48555.0,9387.3,3486.0,5901.299999999999,2023-12-01,2020-01-01,2022-03-01,130.0,0,12,0,2023-02-01,Other,-16433.0,12.0,1,1792800.0,3585600.0,96.0,0.00011756958879841352,2.0,7081.56,2022-01-10,12.713534822601838,81.10000000000001,6.758333333333334,-13.5,-2.7,618.0,51.5,205.0,41.0
608011790.0,147.89999999999998,12.324999999999998,12.75,Москва,26810.85148809522,2386.65863095238,2368.9666666666653,1331.73363095238,2025-05-01,2020-01-01,2021-12-01,181.27688632924426,0,12,0,2022-11-01,ООО,23719.0,11.0,2,420750.0,1402500.0,77.0,7.817807119941359e-05,5.0,35.53,2019-11-15,35.545335085413925,80.7,6.7250000000000005,-14.600000000000001,-2.9200000000000004,591.0,49.25,191.0,38.2
725017259.0,247.1,20.591666666666665,21.7,Москва,37982.25006103516,3286.93339029948,3165.187502034505,243.49172363281014,2025-05-01,2020-01-01,2021-07-01,153.71206014178537,0,12,0,2022-06-01,ООО,28683.0,7.0,2,291000.0,1164000.0,48.0,7.633366876469953e-05,0.0,0.0,2016-01-22,76.28120893561103,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
1326254588.0,85.42500000000001,14.237500000000002,15.3,Москва,15831.306426323788,3308.03472222222,2835.45837402344,2126.5930555555497,2024-03-01,2022-01-01,2022-06-01,185.32404362099837,1,6,1,2023-05-01,ООО,-12190.0,6.0,1,89250.0,1071000.0,84.0,0.00021070453414173503,3.0,-1984.82,2022-01-01,15.932982917214192,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
1327021963.0,84.15,14.025,15.3,Москва,15831.306426323788,3308.03472222222,2835.45837402344,2126.5930555555497,2024-03-01,2022-01-01,2022-06-01,188.131983675862,1,6,1,2023-05-01,ООО,-12190.0,6.0,1,89250.0,1071000.0,84.0,0.00021070453414173503,1.0,-1984.82,2022-01-01,15.932982917214192,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
1327029232.0,248.625,41.4375,41.4375,Москва,46550.82508138017,12760.1253255208,7679.705541992189,10397.14199218747,2025-04-01,2020-01-01,2022-05-01,187.23308227804995,0,6,1,2023-04-01,ООО,-30052.0,6.0,8,357000.0,4284000.0,216.0,0.0008428181365669402,1.0,-6805.4,2018-11-20,52.332457293035475,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
1327035042.0,81.60000000000001,13.600000000000001,14.025,Москва,15358.72987467448,3308.03466796875,2717.312520345055,2126.5930013020798,2024-03-01,2022-11-01,2022-06-01,188.21972885630487,1,6,1,2023-05-01,ООО,-11623.0,6.0,1,76500.0,918000.0,72.0,0.00018060388640720146,1.0,-1984.82,2022-10-31,5.978975032851511,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
1328017790.0,81.60000000000001,13.600000000000001,14.025,Москва,15358.72987467448,3308.03466796875,2717.312520345055,2126.5930013020798,2024-03-01,2022-11-01,2022-06-01,188.21972885630487,1,6,1,2023-05-01,ООО,-1417.0,4.0,1,76500.0,918000.0,72.0,0.00018060388640720146,1.0,-1984.82,2022-10-31,5.978975032851511,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
1435314558.0,495.0,247.5,247.5,Москва,65663.0416666667,34032.375,32831.52083333335,2401.7083333332994,2025-05-01,2023-03-01,2022-04-01,132.6526094276095,0,1,0,2023-03-01,ООО,422109.0,5.0,3,588150.0,2352600.0,24.0,0.00015428057485896232,0.0,0.0,2023-03-01,0.0,83.10000000000001,6.925000000000001,-12.200000000000001,-2.4400000000000004,666.0,55.5,266.0,53.2
1840088323.0,303.6,50.6,55.2,Москва,60720.0,12650.0,11385.0,10120.0,2024-04-01,2020-01-01,2022-06-01,199.99999999999997,1,6,1,2023-05-01,ООО,-42504.0,6.0,1,966000.0,3864000.0,28.0,0.00025339630249725,1.0,-3036.0,2019-12-01,40.9658344283837,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
1841065061.0,223.1,18.591666666666665,18.4,Москва,32258.89795735676,2868.53333333333,2776.0,1097.7916666666601,2023-07-01,2020-01-01,2021-10-01,144.59389492315896,0,12,0,2022-09-01,ООО,0.0,0.0,1,207000.0,1656000.0,72.0,0.0002171968307119286,0.0,0.0,2018-10-19,46.419185282522996,82.8,6.8999999999999995,-11.700000000000001,-2.3400000000000003,609.0,50.75,226.0,45.2
2011005220.0,18.4,9.2,9.2,Москва,5443.33333333334,2721.66666666667,2721.66666666667,0.0,2025-05-01,2023-04-01,2022-06-01,295.8333333333337,0,2,0,2023-05-01,ООО,0.0,0.0,1,23000.0,92000.0,4.0,6.033245297553572e-06,0.0,0.0,2023-04-03,0.9198423127463863,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
2130198323.0,114.225,10.384090909090908,5.1,Москва,19361.158154296896,8303.16666666667,1052.97495524089,7917.075000000003,2024-03-01,2022-03-01,2022-06-01,169.5001808211591,1,11,0,2023-05-01,ООО,-6120.0,8.0,3,321250.0,1285000.0,52.0,8.426869790604716e-05,0.0,0.0,2022-02-14,14.487516425755585,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
2308134635.0,89.25,7.4375,7.14,Москва,37477.456144205724,4118.40616861979,3020.1625,1372.8061930338504,2024-05-01,2021-02-01,2022-06-01,419.91547500510615,1,12,0,2023-05-01,ООО,-2304.0,11.0,1,196350.0,785400.0,88.0,5.150555279020192e-05,0.0,0.0,2021-02-10,26.609724047306177,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
2370001556.0,47.769999999999996,9.553999999999998,11.24,Москва,12508.33333333333,3291.66666666667,2633.33333333333,1975.0000000000002,2024-11-01,2022-12-01,2022-06-01,261.8449515037331,0,5,1,2023-05-01,ООО,-13430.0,5.0,1,140500.0,562000.0,40.0,3.685525931766422e-05,0.0,0.0,2022-12-19,4.369250985545335,89.00000000000001,7.416666666666668,-12.200000000000001,-2.4400000000000004,601.0,50.083333333333336,266.0,53.2
2540167061.0,2011.64,41.90916666666667,34.72,Москва,305345.2087239584,11982.6666666667,5871.995833333335,10920.1666666667,2025-05-01,2020-02-01,2022-05-01,151.7891912687948,0,12,0,2023-04-01,ООО,-64250.0,86.0,9,2959950.0,11287800.0,472.0,0.000722140114865222,0.0,0.0,2020-02-17,37.417871222076215,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
3017058220.0,164.825,54.94166666666666,60.725,Москва,38325.0,14600.0,14600.0,5475.0,2025-04-01,2022-12-01,2022-03-01,232.51933869255274,0,3,1,2023-02-01,ООО,-32850.0,3.0,1,260250.0,2082000.0,48.0,0.00027306992846753346,0.0,0.0,2022-12-12,1.6754270696452036,81.10000000000001,6.758333333333334,-13.5,-2.7,618.0,51.5,205.0,41.0
