INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
274110679.0,3019.95,251.6625,297.57,Москва,353229.17500000016,47962.2,33640.60833333335,34174.399999999994,2025-05-01,2020-01-01,2023-08-01,116.96523949072011,0,12,0,2024-07-01,АО,2.0,8.0,1,2435900.0,29230800.0,372.0,0.005406369690736879,0.0,0.0,2020-01-01,53.975032851511166,89.1,7.425,-16.7,-3.34,776.0,64.66666666666667,264.0,52.8
411152793.0,373.5,31.125,29.88,Москва,56771.999999999985,9387.3,4307.7,5079.599999999999,2023-12-01,2020-01-01,2023-01-01,151.99999999999997,0,12,0,2023-12-01,Other,-52616.0,9.0,1,1643400.0,3286800.0,88.0,0.00010131810681150233,2.0,7081.56,2022-01-10,22.667542706964518,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
608011790.0,146.625,12.21875,12.75,Москва,35785.65,3031.025,3031.025,195.55000000000018,2025-05-01,2020-01-01,2023-08-01,244.06240409207163,0,12,0,2024-07-01,ООО,-14312.0,10.0,2,420750.0,1402500.0,77.0,7.349631744107473e-05,0.0,0.0,2019-11-15,55.51905387647832,89.1,7.425,-16.7,-3.34,776.0,64.66666666666667,264.0,52.8
725017259.0,244.55,20.379166666666666,19.4,Москва,47187.02466227216,4191.85833333333,3845.71666666667,346.14178059894994,2025-05-01,2020-01-01,2023-02-01,192.9545068994977,0,12,0,2024-01-01,ООО,-37328.0,10.0,2,582000.0,2328000.0,96.0,0.00014352473692173386,0.0,0.0,2016-01-22,95.30223390275953,81.3,6.7749999999999995,-13.799999999999999,-2.76,765.0,63.75,200.0,40.0
1327029232.0,216.75000000000003,30.96428571428572,33.15,Москва,40809.391813151036,10397.138671875,6616.36108398438,8766.613671875,2025-04-01,2020-01-01,2023-01-01,188.27862428212703,0,7,1,2023-12-01,ООО,-48963.0,7.0,2,204000.0,2652000.0,104.0,0.0005533840372033863,3.0,-10519.94,2018-11-20,60.34822601839684,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
2011005220.0,59.8,9.966666666666667,9.2,Москва,17690.83333333334,3402.08333333333,2721.66666666667,680.4166666666597,2025-05-01,2023-04-01,2022-10-01,295.8333333333334,0,6,0,2023-09-01,ООО,-3266.0,1.0,1,138000.0,552000.0,24.0,3.403163865154515e-05,0.0,0.0,2023-04-03,4.9605781865965834,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
2315227383.0,49.5,16.5,18.0,Москва,8700.0,2900.0,2900.0,0.0,2025-05-01,2023-08-01,2022-11-01,175.75757575757575,0,3,0,2023-10-01,ООО,-10440.0,3.0,1,135000.0,540000.0,12.0,3.3291820419989815e-05,0.0,0.0,2023-08-01,2.0039421813403417,85.70000000000002,7.141666666666668,-12.200000000000001,-2.4400000000000004,736.0,61.333333333333336,266.0,53.2
2370001556.0,70.29,14.058000000000002,12.33,Москва,18739.33341471355,4916.66666666667,4444.66666666667,2616.6666666666697,2024-11-01,2022-12-01,2023-04-01,266.6002762087573,0,5,1,2024-03-01,ООО,-16753.0,5.0,1,179500.0,718000.0,40.0,4.4265790854727196e-05,1.0,-400.0,2022-12-19,14.388961892247043,81.2,6.766666666666667,-16.7,-3.34,734.0,61.166666666666664,264.0,52.8
2540167061.0,1795.9999999999998,40.81818181818181,28.6,Москва,372202.6708100818,20394.6335530599,6212.76666666667,19142.401410202758,2025-05-01,2020-02-01,2023-08-01,207.2397944376848,0,12,0,2024-07-01,ООО,8919.0,96.0,9,3304350.0,12201200.0,512.0,0.0007208973802833017,7.0,4084.36,2020-02-17,52.43101182654402,89.1,7.425,-16.7,-3.34,776.0,64.66666666666667,264.0,52.8
3000009457.0,36.8,18.4,18.4,Москва,8976.0,5610.0,4488.0,2244.0,2025-05-01,2023-10-01,2022-12-01,243.91304347826087,0,2,0,2023-11-01,ООО,-10771.0,2.0,1,92000.0,368000.0,8.0,2.2687759101030096e-05,0.0,0.0,2023-10-10,0.7227332457293035,87.10000000000001,7.258333333333334,-10.8,-2.16,786.0,65.5,316.0,63.2
3017058220.0,537.85,67.23125,69.4,Москва,120121.5,16425.0,14600.0,1989.25,2025-04-01,2022-12-01,2023-01-01,223.33643209073162,0,8,1,2023-12-01,ООО,-141954.0,8.0,1,780750.0,6246000.0,144.0,0.0007701507790490976,4.0,-2590.0,2022-12-12,11.629434954007884,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
3301016507.0,246.56,20.546666666666667,22.08,Москва,36260.66241396949,4261.09171549479,3656.370922851565,3898.958382161457,2025-05-01,2020-01-01,2022-10-01,147.06628169195932,0,12,0,2023-09-01,ООО,0.0,0.0,1,740600.0,2847400.0,79.0,0.0001730650623925452,1.0,-367.01,2017-02-16,78.44940867279894,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
3301036461.0,143.51999999999998,11.959999999999999,11.04,Москва,24957.983333333344,2382.61666666667,2019.275,363.3416666666699,2025-05-01,2020-01-01,2022-10-01,173.89899201040515,0,12,0,2023-09-01,ООО,-20256.0,10.0,1,662400.0,1324800.0,24.0,4.083796638185417e-05,0.0,0.0,2019-07-10,49.73718791064389,87.40000000000002,7.283333333333335,-12.200000000000001,-2.4400000000000004,680.0,56.666666666666664,266.0,53.2
3302007079.0,187.20000000000002,15.600000000000001,14.4,Москва,31217.819940476194,2651.37648809524,2651.37648809524,256.58482142856974,2025-05-01,2020-01-01,2022-11-01,166.7618586563899,0,12,0,2023-10-01,ООО,-31196.0,12.0,1,432000.0,1728000.0,48.0,0.00010653382534396738,0.0,0.0,2009-02-24,175.16425755584757,85.70000000000002,7.141666666666668,-12.200000000000001,-2.4400000000000004,736.0,61.333333333333336,266.0,53.2
3304025940.0,183.555,20.395,20.395,Москва,30564.749951171867,3589.95,3589.95,1505.4666666666699,2023-12-01,2020-01-01,2023-01-01,166.51548555567467,0,9,0,2023-12-01,ООО,-25065.0,6.0,1,1631600.0,1631600.0,32.0,2.5147654720951565e-05,1.0,-287.2,2018-10-01,61.990801576872535,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
3311013880.0,215.775,43.155,41.1,Москва,56500.5501953125,11834.5751953125,11452.8166666667,1527.0418619792,2025-02-01,2020-01-01,2023-08-01,261.8493810465184,1,5,1,2024-07-01,ООО,-27944.0,5.0,1,411000.0,1644000.0,32.0,0.0001013550977230801,0.0,0.0,2016-02-17,100.42706964520367,89.1,7.425,-16.7,-3.34,776.0,64.66666666666667,264.0,52.8
3311021111.0,221.08500000000004,18.423750000000002,17.34,Москва,70135.95696382069,6066.40476190476,5870.71428571429,680.5029761904698,2025-05-01,2020-01-01,2023-08-01,317.235257768825,0,12,0,2024-07-01,ООО,7516.0,8.0,1,476850.0,1907400.0,88.0,0.0001175941079057196,0.0,0.0,2015-10-01,104.99342969776609,89.1,7.425,-16.7,-3.34,776.0,64.66666666666667,264.0,52.8
3327329342.0,66.30000000000001,5.525000000000001,5.1,Москва,20189.55386904762,1841.33541666667,1689.32470238095,315.49374999999986,2025-05-01,2020-01-01,2023-01-01,304.51815790418726,0,12,0,2023-12-01,ООО,-23675.0,12.0,1,153000.0,612000.0,48.0,3.7730729809321794e-05,0.0,0.0,2009-04-29,175.06570302233902,86.7,7.2250000000000005,-11.200000000000001,-2.24,749.0,62.416666666666664,279.0,55.8
