INN,sqm_sum,sqm_mean,sqm_median,City,Turnover_sum_last_12,Turnover_max_last_12,Turnover_median_last_12,Turnover_deriv,Latest_date,First_date,start_date,Price,ACTIVITY_AND_ATTRITION,Active_months,Seasonality,upper_bound,legal_type,sum_debits,n_debits,unique_addresses_last_12,SQM_SINGLE_MATS_IN_ACTIVE_SPECIFICATIONS,total_spacetime_area,Frequency_of_changes_sum,weighted_changes,total_recalculations,sum_recalculations,ДАТА КОНТРАКТА,Dur_months,weather_sum_0,weather_avg_0,weather_winter_sum_0,weather_winter_avg_0,weather_sum_1,weather_avg_1,weather_winter_sum_1,weather_winter_avg_1
273008320.0,603.0,120.6,120.6,Москва,63985.950000000004,15234.75,12187.8,6093.9,2022-06-01,2020-01-01,2021-06-01,106.11268656716419,0,5,0,2022-05-01,ПАО,0.0,0.0,1,1507500.0,6030000.0,40.0,0.0004404280364201467,1.0,-3656.34,2022-01-01,3.9421813403416555,83.30000000000001,6.941666666666667,-11.700000000000001,-2.3400000000000003,698.0,58.166666666666664,226.0,45.2
274110679.0,3318.975,276.58125,311.0625,Москва,298864.71718750003,34210.5833333333,29737.11393229165,24230.824999999968,2025-05-01,2020-01-01,2021-09-01,90.04729387461492,0,12,0,2022-08-01,АО,101696.0,1.0,1,2043250.0,24519000.0,216.0,0.005372564689047551,3.0,-6550.14,2020-01-01,30.97897503285151,82.60000000000001,6.883333333333334,-11.700000000000001,-2.3400000000000003,619.0,51.583333333333336,226.0,45.2
276128914.0,3082.7300000000005,192.67062500000003,173.67000000000002,Москва,292164.5496744791,33948.7333333333,18588.5,29878.7333333333,2022-08-01,2020-12-01,2021-09-01,94.77461525157217,0,12,0,2022-08-01,ООО,0.0,0.0,9,3037500.0,21870000.0,864.0,0.0030172607271171242,0.0,0.0,2020-12-14,19.54664914586071,82.60000000000001,6.883333333333334,-11.700000000000001,-2.3400000000000003,619.0,51.583333333333336,226.0,45.2
411152793.0,388.44,32.37,29.88,Москва,41832.00016276042,3486.00016276042,3486.0,0.00016276042015306302,2023-12-01,2020-01-01,2021-07-01,107.69230811131816,0,12,0,2022-06-01,Other,0.0,6.0,1,896400.0,1792800.0,48.0,6.547258571260689e-05,0.0,0.0,2022-01-10,4.664914586070959,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
608011790.0,155.55,12.9625,12.75,Москва,28681.593154761893,3031.025,2386.658482142855,1976.1000000000001,2025-05-01,2020-01-01,2022-03-01,184.38825557545414,0,12,0,2023-02-01,ООО,8205.0,12.0,2,459000.0,1530000.0,84.0,9.49878377055391e-05,5.0,35.53,2019-11-15,38.5676741130092,81.10000000000001,6.758333333333334,-13.5,-2.7,618.0,51.5,205.0,41.0
725017259.0,247.1,20.591666666666665,21.7,Москва,37982.25006103516,3286.93339029948,3165.187502034505,243.49172363281014,2025-05-01,2020-01-01,2021-07-01,153.71206014178537,0,12,0,2022-06-01,ООО,28683.0,7.0,2,291000.0,1164000.0,48.0,8.50179493189139e-05,0.0,0.0,2016-01-22,76.28120893561103,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
1326254588.0,85.42500000000001,14.237500000000002,15.3,Москва,15831.306426323788,3308.03472222222,2835.45837402344,2126.5930555555497,2024-03-01,2022-01-01,2022-05-01,185.32404362099837,1,6,1,2023-04-01,ООО,-10773.0,5.0,1,76500.0,918000.0,72.0,0.00020115071514114166,0.0,0.0,2022-01-01,14.947437582128778,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
1327021963.0,84.15,14.025,15.3,Москва,15831.306426323788,3308.03472222222,2835.45837402344,2126.5930555555497,2024-03-01,2022-01-01,2022-05-01,188.131983675862,1,6,1,2023-04-01,ООО,-10773.0,5.0,1,76500.0,918000.0,72.0,0.00020115071514114166,0.0,0.0,2022-01-01,14.947437582128778,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
1327029232.0,511.27500000000003,102.25500000000001,133.875,Москва,65924.99290364588,19728.0,17360.625,18120.53333333333,2025-04-01,2020-01-01,2021-12-01,128.94233612761406,0,5,1,2022-11-01,ООО,0.0,4.0,8,522750.0,6273000.0,420.0,0.001374529886797801,0.0,0.0,2018-11-20,47.3718791064389,80.7,6.7250000000000005,-14.600000000000001,-2.9200000000000004,591.0,49.25,191.0,38.2
1327035042.0,81.60000000000001,13.600000000000001,14.025,Москва,15358.72987467448,3308.03466796875,2717.312520345055,2126.5930013020798,2024-03-01,2022-11-01,2022-05-01,188.21972885630487,1,6,1,2023-04-01,ООО,-10206.0,5.0,1,63750.0,765000.0,60.0,0.00016762559595095137,0.0,0.0,2022-10-31,4.993429697766097,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
1328017790.0,81.60000000000001,13.600000000000001,14.025,Москва,15358.72987467448,3308.03466796875,2717.312520345055,2126.5930013020798,2024-03-01,2022-11-01,2022-05-01,188.21972885630487,1,6,1,2023-04-01,ООО,0.0,3.0,1,63750.0,765000.0,60.0,0.00016762559595095137,0.0,0.0,2022-10-31,4.993429697766097,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
1840088323.0,303.6,50.6,55.2,Москва,60720.0,12650.0,11385.0,10120.0,2024-04-01,2020-01-01,2022-05-01,199.99999999999997,1,6,1,2023-04-01,ООО,-42504.0,6.0,1,828000.0,3312000.0,24.0,0.0002419067423919612,1.0,-3036.0,2019-12-01,39.98028909329829,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
1841065061.0,236.9,19.741666666666667,19.549999999999997,Москва,35709.86671549479,3356.26666666667,2868.53333333333,765.3332356770902,2023-07-01,2020-01-01,2022-02-01,150.73814569647442,0,12,0,2023-01-01,ООО,0.0,0.0,1,276000.0,2208000.0,96.0,0.00032254232318928164,0.0,0.0,2018-10-19,50.42706964520368,84.3,7.0249999999999995,-9.399999999999999,-1.8799999999999997,618.0,51.5,171.0,34.2
2130198323.0,114.22499999999998,10.384090909090908,5.1,Москва,19054.133109537786,8303.16666666667,1052.97495524089,7917.075000000003,2024-03-01,2022-03-01,2022-05-01,166.81228373418944,1,11,0,2023-04-01,ООО,-4488.0,7.0,3,321250.0,1285000.0,52.0,9.385572583746079e-05,0.0,0.0,2022-02-14,13.501971090670171,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
2227000087.0,153.27499999999998,12.772916666666665,10.2,Москва,37907.10496186754,4585.53660714286,2996.305357142855,2514.6449404761897,2023-04-01,2020-01-01,2022-05-01,247.31433672723892,1,12,0,2023-04-01,ЗАО,0.0,0.0,1,403000.0,1612000.0,52.0,0.00011773963428014535,4.0,1894.04,2012-01-26,134.13272010512483,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
2308134635.0,86.19,7.1825,7.14,Москва,32884.79979654948,3431.99991861979,2745.6,1560.0000000000002,2024-05-01,2021-02-01,2021-07-01,381.53845917797287,0,12,0,2022-06-01,ООО,19617.0,6.0,1,112200.0,448800.0,52.0,3.2780116541519376e-05,0.0,0.0,2021-02-10,15.637319316688567,81.7,6.808333333333334,-11.700000000000001,-2.3400000000000003,677.0,56.416666666666664,226.0,45.2
2308246988.0,90.96000000000001,11.370000000000001,12.42,Москва,13123.391695149747,2067.44166666667,1832.04584757487,1253.2000000000028,2023-04-01,2020-12-01,2022-05-01,144.2765137989198,1,8,0,2023-04-01,ООО,-1389.0,6.0,1,254400.0,1017600.0,32.0,7.432497012622576e-05,0.0,0.0,2020-12-10,27.660972404730618,87.00000000000001,7.250000000000001,-12.200000000000001,-2.4400000000000004,627.0,52.25,266.0,53.2
